
surface          w     ctrl  brd px2  ink px2  b:i    brd/ctl  plates  thick  rows    grp  opts      mark
sheet-at-rest    320   139   1958     181706   0.011  14.1     1       0      0/0     0    0/0       118
sheet-at-rest    390   139   1958     180526   0.011  14.1     1       0      0/0     0    0/0       118
sheet-at-rest    1280  139   2471     172681   0.014  17.8     1       0      0/0     0    0/0       118
cell-sheet       320   18    2351     18393    0.128  130.6    1       1      10/15   4    1/10      0
cell-sheet       390   18    2351     18393    0.128  130.6    1       1      11/15   4    1/10      0
cell-sheet       1280  18    2312     19674    0.118  128.4    1       1      15/15   4    0/0       0
column-sheet     320   59    9813     48796    0.201  166.3    1       0      4/11    4    2/16      0
column-sheet     390   59    9813     48796    0.201  166.3    1       0      5/11    4    2/16      0
column-sheet     1280  59    9806     50077    0.196  166.2    1       0      10/11   4    0/0       0
row-sheet        320   73    7285     36373    0.2    99.8     1       1      9/36    5    13/323    10
row-sheet        390   73    7285     36373    0.2    99.8     1       1      11/36   5    13/323    10
row-sheet        1280  73    6843     45342    0.151  93.7     6       1      20/36   5    0/0       10
time-row         320   216   40672    174161   0.234  188.3    2       0      4/14    4    11/296    19
time-row         390   216   41958    174161   0.241  194.2    3       0      5/14    4    16/296    19
time-row         1280  216   44247    174161   0.254  204.8    3       0      7/14    4    17/128    19
rules-row        320   309   76126    347183   0.219  246.4    4       0      1/1     0    14/404    0
rules-row        390   309   76218    347183   0.22   246.7    4       0      1/1     0    14/404    0
rules-row        1280  309   76218    347183   0.22   246.7    5       0      1/1     0    15/288    0
motifs-row       320   45    18377    139043   0.132  408.4    9       0      1/1     0    0/0       0
motifs-row       390   45    20619    139094   0.148  458.2    9       0      1/1     0    0/0       0
motifs-row       1280  45    40604    139554   0.291  902.3    13      0      1/1     0    0/0       0
mix-row          320   21    2126     3124     0.681  101.3    6       0      1/1     0    3/36      0
mix-row          390   21    2476     3124     0.793  117.9    6       0      1/1     0    3/36      0
mix-row          1280  21    4450     3124     1.424  211.9    11      0      1/1     0    0/0       0
produce-row      320   17    5311     27335    0.194  312.4    1       0      1/1     0    0/0       0
produce-row      390   17    5311     27335    0.194  312.4    1       0      1/1     0    0/0       0
produce-row      1280  17    5311     27335    0.194  312.4    1       0      1/1     0    0/0       0
drums-does       320   91    21047    93813    0.224  231.3    1       1      4/11    4    13/69     0
drums-does       390   91    21467    93813    0.229  235.9    1       1      4/11    4    26/69     0
drums-does       1280  91    26771    93813    0.285  294.2    1       1      4/11    4    46/69     0
quality-picker   320   111   15269    71308    0.214  137.6    2       0      4/14    4    11/296    19
quality-picker   390   111   16554    71308    0.232  149.1    3       0      5/14    4    16/296    19
quality-picker   1280  111   18843    71308    0.264  169.8    3       0      7/14    4    17/128    19
scale-picker     320   115   16234    75210    0.216  141.2    2       0      4/14    4    11/296    19
scale-picker     390   115   17520    75210    0.233  152.3    3       0      5/14    4    16/296    19
scale-picker     1280  115   19809    75210    0.263  172.3    3       0      7/14    4    17/128    19
envelope-plate   320   59    9813     48796    0.201  166.3    1       0      4/11    4    2/16      0
envelope-plate   390   59    9813     48796    0.201  166.3    1       0      5/11    4    2/16      0
envelope-plate   1280  59    9806     50077    0.196  166.2    1       0      10/11   4    0/0       0
hamburger        320   155   7401     190555   0.039  47.7     2       1      0/0     0    0/0       129
hamburger        390   155   7541     189021   0.04   48.7     2       1      0/0     0    0/0       129
hamburger        1280  155   9834     181176   0.054  63.4     2       1      0/0     0    0/0       129
bar              320   10    1103     1528     h=50.4 marks 7  words 7
bar              390   10    1243     1528     h=50.4 marks 7  words 7
bar              1280  10    3023     1528     h=50.4 marks 7  words 7

wrote /home/ford/stellate/scratchpad/design/after/measure.json
